Номер	URL
66	https://dic.academic.ru/dic.nsf/enc_biology/1477/
67	https://dic.academic.ru/dic.nsf/enc_biology/1478/
68	https://dic.academic.ru/dic.nsf/enc_biology/1480/
69	https://dic.academic.ru/dic.nsf/enc_biology/1481/
70	https://dic.academic.ru/dic.nsf/enc_biology/1482/
71	https://dic.academic.ru/dic.nsf/enc_biology/1483/
72	https://dic.academic.ru/dic.nsf/enc_biology/1485/
73	https://dic.academic.ru/dic.nsf/enc_biology/1486/
74	https://dic.academic.ru/dic.nsf/enc_biology/1487/
75	https://dic.academic.ru/dic.nsf/enc_biology/1488/
76	https://dic.academic.ru/dic.nsf/enc_biology/1489/
77	https://dic.academic.ru/dic.nsf/enc_biology/1490/
78	https://dic.academic.ru/dic.nsf/enc_biology/1491/
79	https://dic.academic.ru/dic.nsf/enc_biology/1492/
80	https://dic.academic.ru/dic.nsf/enc_biology/1493/
81	https://dic.academic.ru/dic.nsf/enc_biology/1494/
82	https://dic.academic.ru/dic.nsf/enc_biology/1495/
83	https://dic.academic.ru/dic.nsf/enc_biology/1497/
84	https://dic.academic.ru/dic.nsf/enc_biology/1501/
85	https://dic.academic.ru/dic.nsf/enc_biology/1502/
86	https://dic.academic.ru/dic.nsf/enc_biology/1503/
87	https://dic.academic.ru/dic.nsf/enc_biology/1504/
88	https://dic.academic.ru/dic.nsf/enc_biology/1505/
89	https://dic.academic.ru/dic.nsf/enc_biology/1506/
90	https://dic.academic.ru/dic.nsf/enc_biology/1508/
91	https://dic.academic.ru/dic.nsf/enc_biology/1510/
92	https://dic.academic.ru/dic.nsf/enc_biology/1511/
93	https://dic.academic.ru/dic.nsf/enc_biology/1512/
94	https://dic.academic.ru/dic.nsf/enc_biology/1513/
95	https://dic.academic.ru/dic.nsf/enc_biology/1514/
96	https://dic.academic.ru/dic.nsf/enc_biology/1516/
97	https://dic.academic.ru/dic.nsf/enc_biology/1517/
98	https://dic.academic.ru/dic.nsf/enc_biology/1518/
99	https://dic.academic.ru/dic.nsf/enc_biology/1519/
100	https://dic.academic.ru/dic.nsf/enc_biology/1520/
